City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
581,Gibara,CU,78.12,broken clouds,21.1097,-76.1317,Sol y Mar
584,Sosua,DO,78.78,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
587,Manoel Urbano,BR,79.25,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
590,Altagracia De Orituco,VE,78.96,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
593,Wenchi,GH,77.11,broken clouds,7.7392,-2.1046,Ebenezer Hotel
595,Sakakah,SA,71.17,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
596,Thalassery,IN,81.9,overcast clouds,11.75,75.5333,Soubhagya Residency
598,Mehran,IR,74.01,scattered clouds,33.1222,46.1646,بوتیک زنانه بهار
599,Acari,PE,71.24,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
600,Bandundu,CD,71.33,overcast clouds,-3.3167,17.3667,Coja Color
601,Balad,IQ,72.77,clear sky,34.0164,44.1453,رضاوي زنوبة
606,The Valley,AI,78.66,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
608,Machilipatnam,IN,82.53,broken clouds,16.1667,81.1333,R&B Bungalow
609,Savannah Bight,HN,81.81,clear sky,16.45,-85.85,Villa on Dunbar Rock
611,San Ramon,US,76.5,clear sky,37.7799,-121.978,San Ramon Marriott
618,Natal,BR,79.02,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
620,Itaituba,BR,72.3,moderate rain,-4.2761,-55.9836,Hotel Campos
621,Puerto Maldonado,PE,73.74,overcast clouds,-12.6,-69.1833,Wasai Hotel
637,Tutoia,BR,77.72,overcast clouds,-2.7619,-42.2744,Pousada Guará's
639,Kalmunai,LK,79.05,broken clouds,7.4167,81.8167,VS Villa
641,Sao Gabriel Da Cachoeira,BR,70.65,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
643,Puerto Leguizamo,CO,70.93,overcast clouds,-0.1934,-74.7819,la casona de juancho
645,Bengkulu,ID,76.28,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
646,Pauini,BR,75.9,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
647,Tabas,IR,80.78,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
649,Libreville,GA,75.22,few clouds,0.3925,9.4537,Le Méridien Re-Ndama
652,Aku,NG,73.47,overcast clouds,6.7081,7.3167,Diewa Hotel And Resort
655,Alexander City,US,73.49,clear sky,32.944,-85.9539,Hampton Inn Alexander City
660,Udayagiri,IN,76.75,scattered clouds,20.1333,84.3833,Hotel Disha
671,Jhunjhunun,IN,82.0,clear sky,28.1307,75.4014,STARiHOTELS Jhunjhunu
674,Wajir,KE,78.8,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
680,Porecatu,BR,71.83,few clouds,-22.7558,-51.3792,Hotel Central
682,La Palma,US,82.96,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
685,Dawlatabad,AF,73.71,few clouds,36.4141,64.9053,WASIM ASGAR KHAN
