City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
236,Pontivy,FR,48.0,-3.0,50.05,83,100,11.1,overcast clouds
237,Maputo,MZ,-25.9653,32.5892,65.88,79,0,5.75,clear sky
238,Sayyan,YE,15.1718,44.3244,60.04,58,59,1.05,broken clouds
239,Gornopravdinsk,RU,60.05,69.9,28.24,88,31,3.33,scattered clouds
240,Chatrapur,IN,19.35,84.9833,78.26,85,49,10.22,scattered clouds
241,Skjervoy,NO,70.0311,20.9714,30.2,64,100,22.3,light snow
242,Surskoye,RU,54.4821,46.7214,36.93,93,100,9.42,overcast clouds
243,Oni,GE,42.5794,43.4425,49.41,88,71,5.59,broken clouds
244,Bam,IR,29.106,58.357,79.0,25,68,9.64,broken clouds
245,Muisne,EC,0.6,-80.0333,77.07,85,100,7.05,overcast clouds
246,Nalut,LY,30.3333,10.85,69.37,26,48,22.41,scattered clouds
247,Jalu,LY,29.0331,21.5482,67.1,52,38,12.12,scattered clouds
248,Belmonte,BR,-15.8631,-38.8828,75.51,83,20,4.27,few clouds
249,Shieli,KZ,44.1667,66.75,66.69,34,20,8.16,few clouds
250,Changji,CN,44.0167,87.3167,65.19,19,0,13.42,clear sky
251,Brigantine,US,39.4101,-74.3646,59.0,33,0,8.05,clear sky
252,Tera,NE,14.0078,0.7531,91.51,9,100,4.76,overcast clouds
253,High Rock,BS,26.6208,-78.2833,73.42,74,71,23.4,broken clouds
254,Dogondoutchi,NE,13.6393,4.0287,86.68,9,42,6.76,scattered clouds
255,Ugoofaaru,MV,5.6667,73.0,85.69,72,77,13.22,broken clouds
256,Kilindoni,TZ,-7.9139,39.6668,80.44,74,16,17.07,light rain
257,Cidreira,BR,-30.1811,-50.2056,60.64,65,0,6.35,clear sky
258,Virginia Beach,US,36.8529,-75.978,60.06,60,0,6.91,clear sky
259,Bafq,IR,31.6128,55.4107,74.35,31,83,1.57,broken clouds
260,Tessalit,ML,20.1986,1.0114,80.76,8,0,4.52,clear sky
261,Zhanaozen,KZ,43.3,52.8,64.36,50,98,7.47,overcast clouds
262,Nata,PA,8.3333,-80.5167,78.67,81,86,8.84,overcast clouds
263,Tabou,CI,4.423,-7.3528,80.47,84,10,6.8,light rain
264,Qom,IR,34.6401,50.8764,69.6,44,100,2.46,overcast clouds
265,Dalbandin,PK,28.8947,64.4101,81.34,18,0,4.52,clear sky
266,Botelhos,BR,-21.6333,-46.395,62.04,73,25,3.51,scattered clouds
267,Sarkhej,IN,22.9833,72.5,87.93,42,0,8.05,smoke
268,Saint Marys,US,30.7305,-81.5465,73.51,63,40,12.66,scattered clouds
269,Domoni,KM,-12.2569,44.5319,77.94,86,69,5.14,light rain
270,Burgersdorp,ZA,-30.9977,26.3286,48.76,37,0,4.47,clear sky
271,Mana,GF,5.6592,-53.7767,78.84,84,40,10.27,scattered clouds
272,Bilma,NE,18.6853,12.9164,87.19,6,90,6.46,overcast clouds
273,Aranda De Duero,ES,41.6704,-3.6892,53.64,76,58,1.63,broken clouds
274,Ritchie,ZA,-29.038,24.6028,43.81,33,0,3.96,clear sky
275,Omboue,GA,-1.5746,9.2618,77.92,90,100,1.25,overcast clouds
276,Raudeberg,NO,61.9875,5.1352,41.67,85,69,3.47,broken clouds
277,Kouango,CF,4.9934,19.9619,71.24,93,73,4.85,light rain
278,Taoudenni,ML,22.6783,-3.9836,83.39,9,33,7.92,scattered clouds
279,Edd,ER,13.9297,41.6925,84.06,72,75,5.08,broken clouds
280,Marsh Harbour,BS,26.5412,-77.0636,73.72,74,86,23.6,overcast clouds
281,Ilinskiy,RU,55.619,38.1182,37.11,87,20,4.47,few clouds
282,Faisalabad,PK,31.4167,73.0833,83.7,22,1,5.53,clear sky
283,Cockburn Town,TC,21.4612,-71.1419,75.16,64,40,5.75,scattered clouds
284,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,52.0,76,19,5.06,few clouds
285,Sao Filipe,CV,14.8961,-24.4956,71.58,72,17,13.51,few clouds
286,Margate,GB,51.3813,1.3862,47.7,73,91,5.99,overcast clouds
287,Buraydah,SA,26.326,43.975,72.05,36,0,6.89,clear sky
288,Antofagasta,CL,-23.65,-70.4,60.08,83,100,5.37,overcast clouds
289,Ankazobe,MG,-18.3167,47.1167,57.61,91,35,2.91,scattered clouds
290,Male,MV,4.1748,73.5089,85.91,71,100,13.65,overcast clouds
291,Maniitsoq,GL,65.4167,-52.9,13.89,65,76,2.82,broken clouds
292,Pitimbu,BR,-7.4706,-34.8086,75.79,81,100,7.18,overcast clouds
293,Sawakin,SD,19.1059,37.3321,80.2,64,18,3.91,few clouds
294,Morondava,MG,-20.2833,44.2833,75.88,72,0,0.58,clear sky
295,Surab,PK,28.4914,66.2585,67.5,23,2,3.13,clear sky
296,Ampanihy,MG,-24.7,44.75,63.19,69,0,6.8,clear sky
